Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry
NVDA,NVDA,NVIDIA Corporation - Common Stock,NASDAQ,Q,N,N,4.86493E+12,Technology,Semiconductors
AAPL,AAPL,Apple Inc. - Common Stock,NASDAQ,Q,N,N,4.39211E+12,Technology,Computer Manufacturing
GOOGL,GOOGL,Alphabet Inc. - Class A Common Stock,NASDAQ,Q,N,N,4.2486E+12,Technology,Computer Software: Programming Data Processing
GOOG,GOOG,Alphabet Inc. - Class C Capital Stock,NASDAQ,Q,N,N,4.23987E+12,Technology,Computer Software: Programming Data Processing
MSFT,MSFT,Microsoft Corporation - Common Stock,NASDAQ,Q,N,N,2.78076E+12,Technology,Computer Software: Prepackaged Software
SPCX,SPCX,Space Exploration Technologies Corp. - Class A Common Stock,NASDAQ,Q,N,N,2.09088E+12,Technology,Computer Software: Programming Data Processing
AVGO,AVGO,Broadcom Inc. - Common Stock,NASDAQ,Q,N,N,1.83393E+12,Technology,Semiconductors
META,META,"Meta Platforms, Inc. - Class A Common Stock",NASDAQ,Q,N,N,1.43168E+12,Technology,Computer Software: Programming Data Processing
MU,MU,"Micron Technology, Inc. - Common Stock",NASDAQ,Q,N,N,1.17982E+12,Technology,Semiconductors
AMD,AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,Q,N,N,8.47627E+11,Technology,Semiconductors
ASML,ASML,ASML Holding N.V. - New York Registry Shares,NASDAQ,Q,N,N,6.81528E+11,Technology,Industrial Machinery/Components
INTC,INTC,Intel Corporation - Common Stock,NASDAQ,Q,N,N,6.75721E+11,Technology,Semiconductors
AMAT,AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,Q,N,N,4.66824E+11,Technology,Semiconductors
LRCX,LRCX,Lam Research Corporation - Common Stock,NASDAQ,Q,N,N,4.61598E+11,Technology,Industrial Machinery/Components
ORCL,ORCL,Oracle Corporation Common Stock,NYSE, ,N,N,4.58312E+11,Technology,Computer Software: Prepackaged Software
GE,GE,GE Aerospace Common Stock,NYSE, ,N,N,3.81835E+11,Technology,Consumer Electronics/Appliances
ARM,ARM,Arm Holdings plc - American Depositary Shares,NASDAQ,Q,N,N,3.8024E+11,Technology,Semiconductors
KLAC,KLAC,KLA Corporation  - Common Stock,NASDAQ,Q,N,N,3.13937E+11,Technology,Electronic Components
SNDK,SNDK,Sandisk Corporation - Common Stock When-Issued,NASDAQ,Q,N,N,2.85663E+11,Technology,Electronic Components
DELL,DELL,Dell Technologies Inc. Class C Common Stock ,NYSE, ,N,N,2.79464E+11,Technology,Computer Manufacturing
TXN,TXN,Texas Instruments Incorporated - Common Stock,NASDAQ,Q,N,N,2.76964E+11,Technology,Semiconductors
PLTR,PLTR,Palantir Technologies Inc. - Class A Common Stock,NASDAQ,Q,N,N,2.74922E+11,Technology,Computer Software: Prepackaged Software
IBM,IBM,International Business Machines Corporation Common Stock,NYSE, ,N,N,2.45766E+11,Technology,Computer Manufacturing
MRVL,MRVL,"Marvell Technology, Inc. - Common Stock",NASDAQ,Q,N,N,2.37425E+11,Technology,Semiconductors
PANW,PANW,"Palo Alto Networks, Inc. - Common Stock",NASDAQ,Q,N,N,2.34753E+11,Technology,Computer peripheral equipment
STX,STX,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),NASDAQ,Q,N,N,2.2609E+11,Technology,Electronic Components
WDC,WDC,Western Digital Corporation - Common Stock,NASDAQ,Q,N,N,2.22296E+11,Technology,Electronic Components
QCOM,QCOM,QUALCOMM Incorporated - Common Stock,NASDAQ,Q,N,N,2.07738E+11,Technology,Radio And Television Broadcasting And Communications Equipment
APH,APH,Amphenol Corporation Common Stock,NYSE, ,N,N,2.03376E+11,Technology,Electrical Products
ADI,ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,Q,N,N,2.01001E+11,Technology,Semiconductors
SAP,SAP,SAP  SE ADS,NYSE, ,N,N,1.87654E+11,Technology,Computer Software: Prepackaged Software
NEE,NEE,"NextEra Energy, Inc. Common Stock",NYSE, ,N,N,1.81604E+11,Technology,EDP Services
CRWD,CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",NASDAQ,Q,N,N,1.72759E+11,Technology,Computer Software: Prepackaged Software
ETN,ETN,"Eaton Corporation, PLC Ordinary Shares",NYSE, ,N,N,1.59055E+11,Technology,Industrial Machinery/Components
APP,APP,Applovin Corporation - Class A Common Stock,NASDAQ,Q,N,N,1.5575E+11,Technology,Computer Software: Programming Data Processing
SHOP,SHOP,Shopify Inc. - Class A Subordinate Voting Shares,NASDAQ,Q,N,N,1.44068E+11,Technology,Computer Software: Prepackaged Software
CRM,CRM,"Salesforce, Inc. Common Stock",NYSE, ,N,N,1.26879E+11,Technology,Computer Software: Prepackaged Software
VRT,VRT,"Vertiv Holdings, LLC Class A Common Stock",NYSE, ,N,N,1.23243E+11,Technology,Industrial Machinery/Components
PDD,PDD,PDD Holdings Inc. - American Depositary Shares,NASDAQ,Q,N,N,1.08812E+11,Technology,EDP Services
FTNT,FTNT,"Fortinet, Inc. - Common Stock",NASDAQ,Q,N,N,1.07677E+11,Technology,Computer peripheral equipment
CDNS,CDNS,"Cadence Design Systems, Inc. - Common Stock",NASDAQ,Q,N,N,1.04227E+11,Technology,Computer Software: Prepackaged Software
NOW,NOW,"ServiceNow, Inc. Common Stock",NYSE, ,N,N,98037790000,Technology,Computer Software: Prepackaged Software
ASX,ASX,"ASE Technology Holding Co., Ltd. American Depositary Shares (each representing Two Common Shares) ",NYSE, ,N,N,92683527681,Technology,Semiconductors
SNPS,SNPS,"Synopsys, Inc. - Common Stock",NASDAQ,Q,N,N,90437599991,Technology,Computer Software: Prepackaged Software
SNOW,SNOW,Snowflake Inc. Common Stock,NYSE, ,N,N,80210172000,Technology,Computer Software: Prepackaged Software
NOK,NOK,Nokia Corporation Sponsored American Depositary Shares,NYSE, ,N,N,80190377355,Technology,Radio And Television Broadcasting And Communications Equipment
EMR,EMR,Emerson Electric Company Common Stock,NYSE, ,N,N,79901065500,Technology,Consumer Electronics/Appliances
NET,NET,"Cloudflare, Inc. Class A Common Stock",NYSE, ,N,N,79727853215,Technology,Computer Software: Prepackaged Software
DDOG,DDOG,"Datadog, Inc. - Class A Common Stock",NASDAQ,Q,N,N,79233178470,Technology,Computer Software: Prepackaged Software
ADBE,ADBE,Adobe Inc. - Common Stock,NASDAQ,Q,N,N,79191937500,Technology,Computer Software: Prepackaged Software
DASH,DASH,"DoorDash, Inc. - Common Stock",NASDAQ,Q,N,N,78477299019,Technology,EDP Services
COHR,COHR,Coherent Corp. Common Stock,NYSE, ,N,N,76264120112,Technology,Electronic Components
