Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry
TSLA,TSLA,"Tesla, Inc.  - Common Stock",NASDAQ,Q,N,N,1.42E+12,Industrials,Auto Manufacturing
CAT,CAT,"Caterpillar, Inc. Common Stock",NYSE, ,N,N,4.10E+11,Industrials,Construction/Ag Equipment/Trucks
GEV,GEV,GE Vernova Inc. Common Stock,NYSE, ,N,N,2.90E+11,,
TM,TM,Toyota Motor Corporation Common Stock,NYSE, ,N,N,2.85E+11,Industrials,Auto Manufacturing
RTX,RTX,RTX Corporation Common Stock,NYSE, ,N,N,2.61E+11,Industrials,Aerospace
TMO,TMO,Thermo Fisher Scientific Inc Common Stock,NYSE, ,N,N,1.95E+11,Industrials,Industrial Machinery/Components
UNP,UNP,Union Pacific Corporation Common Stock,NYSE, ,N,N,1.74E+11,Industrials,Railroads
BA,BA,Boeing Company (The) Common Stock,NYSE, ,N,N,1.61E+11,Industrials,Aerospace
DE,DE,Deere & Company Common Stock,NYSE, ,N,N,1.58E+11,Industrials,Industrial Machinery/Components
GLW,GLW,Corning Incorporated Common Stock,NYSE, ,N,N,1.40E+11,Industrials,Telecommunications Equipment
DHR,DHR,Danaher Corporation Common Stock,NYSE, ,N,N,1.27E+11,Industrials,Industrial Machinery/Components
PH,PH,Parker-Hannifin Corporation Common Stock,NYSE, ,N,N,1.21E+11,Industrials,Metal Fabrications
LMT,LMT,Lockheed Martin Corporation Common Stock,NYSE, ,N,N,1.17E+11,Industrials,Military/Government/Technical
HWM,HWM,Howmet Aerospace Inc. Common Stock,NYSE, ,N,N,1.12E+11,Industrials,Metal Fabrications
TT,TT,Trane Technologies plc,NYSE, ,N,N,1.04E+11,Industrials,Auto Parts:O.E.M.
GD,GD,General Dynamics Corporation Common Stock,NYSE, ,N,N,99445292666,Industrials,Marine Transportation
ADP,ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,Q,N,N,99139095304,Industrials,Diversified Commercial Services
PWR,PWR,"Quanta Services, Inc. Common Stock",NYSE, ,N,N,95918447241,Industrials,Engineering & Construction
CSX,CSX,CSX Corporation - Common Stock,NASDAQ,Q,N,N,92702547526,Industrials,Railroads
CMI,CMI,Cummins Inc. Common Stock,NYSE, ,N,N,91134879300,Industrials,Industrial Machinery/Components
RACE,RACE,Ferrari N.V. Common Shares,NYSE, ,N,N,86552459244,Industrials,Auto Manufacturing
JCI,JCI,Johnson Controls International plc Ordinary Share,NYSE, ,N,N,86459482101,Industrials,Industrial Machinery/Components
CP,CP,Canadian Pacific Kansas City Limited Common Shares,NYSE, ,N,N,81338776851,Industrials,Railroads
ITW,ITW,Illinois Tool Works Inc. Common Stock,NYSE, ,N,N,78251523000,Industrials,Industrial Machinery/Components
CNI,CNI,Canadian National Railway Company Common Stock,NYSE, ,N,N,77240591244,Industrials,Railroads
NSC,NSC,Norfolk Southern Corporation Common Stock,NYSE, ,N,N,74407992531,Industrials,Railroads
HON,HON,Honeywell International Inc. - Common Stock,NASDAQ,Q,N,N,72825753082,Industrials,Aerospace
NOC,NOC,Northrop Grumman Corporation Common Stock,NYSE, ,N,N,72762329420,Industrials,Industrial Machinery/Components
GM,GM,General Motors Company Common Stock,NYSE, ,N,N,71700416306,Industrials,Auto Manufacturing
TDG,TDG,Transdigm Group Incorporated Common Stock,NYSE, ,N,N,67427374971,Industrials,Military/Government/Technical
GWW,GWW,"W.W. Grainger, Inc. Common Stock",NYSE, ,N,N,64285854962,Industrials,Office Equipment/Supplies/Services
HONA,HONA,Honeywell Aerospace Inc. - Common Stock,NASDAQ,Q,N,N,63432321565,Industrials,Aerospace
FIX,FIX,"Comfort Systems USA, Inc. Common Stock",NYSE, ,N,N,62431850988,Industrials,Engineering & Construction
TER,TER,"Teradyne, Inc. - Common Stock",NASDAQ,Q,N,N,58553030274,Industrials,Electrical Products
F,F,Ford Motor Company Common Stock,NYSE, ,N,N,56861563830,Industrials,Auto Manufacturing
KEYS,KEYS,Keysight Technologies Inc. Common Stock,NYSE, ,N,N,56072479194,Industrials,Industrial Machinery/Components
CARR,CARR,Carrier Global Corporation Common Stock ,NYSE, ,N,N,55742428491,Industrials,Industrial Machinery/Components
AME,AME,"AMETEK, Inc.",NYSE, ,N,N,54495305756,Industrials,Industrial Machinery/Components
NUE,NUE,Nucor Corporation Common Stock,NYSE, ,N,N,53109189540,Industrials,Steel/Iron Ore
LHX,LHX,"L3Harris Technologies, Inc. Common Stock",NYSE, ,N,N,51735970842,Industrials,Industrial Machinery/Components
ROK,ROK,"Rockwell Automation, Inc. Common Stock",NYSE, ,N,N,51722358833,Industrials,Industrial Machinery/Components
MT,MT,Arcelor Mittal NY Registry Shares NEW,NYSE, ,N,N,50082078890,Industrials,Steel/Iron Ore
PYPL,PYPL,"PayPal Holdings, Inc. - Common Stock",NASDAQ,Q,N,N,49265591784,Industrials,Diversified Commercial Services
HEI,HEI,Heico Corporation Common Stock,NYSE, ,N,N,47566715803,Industrials,Aerospace
FER,FER,Ferrovial N.V. - Ordinary Shares,NASDAQ,Q,N,N,45721540140,Industrials,Military/Government/Technical
GRMN,GRMN,Garmin Ltd. Common Stock (Switzerland),NYSE, ,N,N,45639421150,Industrials,Industrial Machinery/Components
WAB,WAB,Westinghouse Air Brake Technologies Corporation Common Stock,NYSE, ,N,N,44715070991,Industrials,Railroads
FERG,FERG,Ferguson Enterprises Inc. Common Stock,NYSE, ,N,N,44291159261,Miscellaneous,Miscellaneous
AXON,AXON,"Axon Enterprise, Inc. - Common Stock",NASDAQ,Q,N,N,41201363700,Industrials,Ordnance And Accessories
RKLB,RKLB,Rocket Lab Corporation - Common Stock,NASDAQ,Q,N,N,40011319872,Industrials,Military/Government/Technical
PAYX,PAYX,"Paychex, Inc. - Common Stock",NASDAQ,Q,N,N,39822253006,Industrials,Diversified Commercial Services
A,A,"Agilent Technologies, Inc. Common Stock",NYSE, ,N,N,37523908080,Industrials,Biotechnology: Laboratory Analytical Instruments
HMC,HMC,"Honda Motor Company, Ltd. Common Stock",NYSE, ,N,N,37057365808,Industrials,Auto Manufacturing
WAT,WAT,Waters Corporation Common Stock,NYSE, ,N,N,36088211005,Industrials,Biotechnology: Laboratory Analytical Instruments
