Ticker,Symbol,ETF Name,Last Price,Change %,Volume,Average Volume 30D,AUM,Expense Ratio %,MTD %,1M %,3M %,6M %,YTD %,1Y %,Exchange,Type,Type Specs,Subtype
AMEX:VEA,VEA,Vanguard FTSE Developed Markets ETF,71.6893,-0.8720962389380397,5594636,10832108.733333332,231840278314.261,0.03,,4.686477803738316,8.079752751394551,15.23758238225366,13.522248614410142,28.590672645739915,AMEX,fund,['etf'],etf
CBOE:IEFA,IEFA,iShares Core MSCI EAFE ETF,97.45,-0.7131940906775373,4639709,9230537.166666666,185923178238.4,0.07,,2.7736764395697215,4.5825284395793044,8.773300591583881,7.858328721638085,17.878311358412965,CBOE,fund,['etf'],etf
AMEX:EFA,EFA,iShares MSCI EAFE ETF,104.255,-0.7284326794896215,6201954,13525943.866666667,77203876662.0,0.32,,2.775039432176654,4.484866706754855,8.48595213319459,7.446150675048948,17.325005626828716,AMEX,fund,['etf'],etf
AMEX:SCHF,SCHF,Schwab International Equity ETF,27.785,-0.8386866523911471,4448006,7735207.233333333,66239250000.0,0.03,,4.967888175292789,8.875391849529782,14.766625361420898,14.200575421290596,28.515263644773352,AMEX,fund,['etf'],etf
AMEX:SPDW,SPDW,State Street SPDR Portfolio Developed World ex-US ETF,51.0801,-0.8538431677018663,1629561,3327767.7333333334,40763803382.5,0.03,,4.887268993839833,8.45031847133758,15.304966139954864,13.840205036772911,27.89208813219831,AMEX,fund,['etf'],etf
AMEX:IDEV,IDEV,iShares Core MSCI International Developed Markets ETF,89.96,-0.7721155967350573,476857,1181569.5333333334,30531819268.35,0.04,,2.682342198379174,4.386168484567169,9.015996122152202,8.047081431659846,19.342000530644732,AMEX,fund,['etf'],etf
CBOE:EFV,EFV,iShares MSCI EAFE Value ETF,78.015,-0.6684491978609698,2849730,5485281.966666667,27646099979.2,0.33,,1.6482084690553753,3.8953256092688733,9.97321680293206,8.128898128898122,22.722982538933458,CBOE,fund,['etf'],etf
AMEX:FNDF,FNDF,Schwab Fundamental International Equity ETF,54.815,-0.6434656516222657,1798116,1562255.6333333333,24589242000.0,0.25,,6.3749272268581345,10.871763754045308,20.31387181738366,19.605062186340824,40.04854368932038,AMEX,fund,['etf'],etf
AMEX:DFIV,DFIV,Dimensional International Value ETF,55.665,-0.49159814086521025,786239,1210124.4333333333,19876903395.6345,0.27,,2.025293255131959,4.59413754227734,14.254926108374384,10.62201907790143,31.44037780401416,AMEX,fund,['etf'],etf
AMEX:AVDV,AVDV,Avantis International Small Cap Value ETF,109.0199,-0.6290219670039074,568079,671305.0,19841460732.0,0.36,,3.2678791323292735,3.9968520461699977,17.062063781810387,15.121330517423447,39.62589651639345,AMEX,fund,['etf'],etf
AMEX:AVDE,AVDE,Avantis International Equity ETF,91.035,-0.7251908396946634,544125,1067555.3666666667,16926077350.0,0.23,,2.5515376816492066,3.8264142335766302,11.658285293756894,9.496030791436127,24.381746140183086,AMEX,fund,['etf'],etf
AMEX:DFAI,DFAI,Dimensional International Core Equity Market ETF,41.5601,-0.6689770554493425,736788,1323504.7,16383301795.155,0.18,,2.2137235612395525,3.357622481969653,10.297505307855623,7.948311688311685,21.877126099706736,AMEX,fund,['etf'],etf
CBOE:EFG,EFG,iShares MSCI EAFE Growth ETF,123.035,-0.6981436642453664,603275,905254.3,16358763886.4,0.36,,4.0817189747060345,5.374272010962651,6.73635811572829,6.699332234845195,11.880512867145583,CBOE,fund,['etf'],etf
NASDAQ:SCZ,SCZ,iShares MSCI EAFE Small-Cap ETF,85.08,-0.5610098176718139,702327,1337887.8333333333,14728400544.0,0.4,,2.002158014626546,3.870101330728851,9.78064516129032,8.714541272680798,20.13555492798645,NASDAQ,fund,['etf'],etf
CBOE:DFIC,DFIC,Dimensional International Core Equity 2 ETF,37.975,-0.5890052356020979,421241,1042210.3666666667,14132887046.076,0.22,,2.2757877726905433,3.4741144414168894,11.724036481318032,9.217716422203043,24.18247220405495,CBOE,fund,['etf'],etf
AMEX:IQLT,IQLT,iShares MSCI Intl Quality Factor ETF,48.9601,-0.749847962700185,607211,1254928.8,13301397052.3,0.3,,1.1154481619165537,3.444115782801603,8.079690949227373,6.620426829268283,14.312631333177677,AMEX,fund,['etf'],etf
NASDAQ:ESGD,ESGD,iShares ESG Aware MSCI EAFE ETF,103.06,-0.7415968409900762,103480,279480.0,11633210448.0,0.2,,3.008495752123943,4.523326572008122,7.9614498219149485,7.253616401290455,16.33367197200587,NASDAQ,fund,['etf'],etf
NASDAQ:AIQ,AIQ,Global X Artificial Intelligence & Technology ETF,69.12,-1.4542343883661193,2421338,2019309.8333333333,11193474367.9573,0.68,,20.607223870179727,40.07498226770697,35.158388736800944,33.436293436293454,69.70292167935186,NASDAQ,fund,['etf'],etf
AMEX:JIRE,JIRE,JPMorgan International Research Enhanced Equity ETF,80.83,-0.6147792942333702,247673,504103.9,10896759252.0,0.24,,2.511097019657583,3.6149211639533303,6.621817702150107,6.621817702150107,16.823240352652117,AMEX,fund,['etf'],etf
AMEX:FENI,FENI,Fidelity Enhanced International ETF,40.1801,-0.6181053673015006,641257,1269667.9,9779421337.21297,0.28,,3.313624678663243,4.224585062240658,11.1114183024606,8.560237709346291,23.392692661958858,AMEX,fund,['etf'],etf
AMEX:DBEF,DBEF,Xtrackers MSCI EAFE Hedged Equity ETF,53.11,-0.3377744417339083,462928,410116.1666666667,8769003802.905,0.35000000000000003,,4.0964327714621644,5.649492739208268,9.03305276123999,9.30232558139534,17.943593160115473,AMEX,fund,['etf'],etf
CBOE:IDV,IDV,iShares International Select Dividend ETF,44.095,-1.099024335538863,701051,886649.2666666667,8611939585.95,0.5,,0.23869061150260712,4.120425029515933,12.746100741498337,10.680220883534124,30.073746312684367,CBOE,fund,['etf'],etf
AMEX:URTH,URTH,iShares MSCI World ETF,204.94,-0.6014162382384368,150497,1354665.0666666667,8112314001.0,0.24,,4.412064397799061,9.365494423395065,9.734418505033203,9.470647935473528,24.963414634146343,AMEX,fund,['etf'],etf
CBOE:HEFA,HEFA,iShares Currency Hedged MSCI EAFE ETF,45.6,-0.4366812227074143,206851,523168.4,7125197740.2,0.35000000000000003,,4.276240567116407,5.579995369298458,9.959006510730655,8.986615678776284,20.858733103631078,CBOE,fund,['etf'],etf
CBOE:BBIN,BBIN,JPMorgan BetaBuilders International Equity ETF,78.315,-0.6154822335025374,22442,128565.2,6490708000.0,0.07,,2.5736738703339928,3.673550436854635,8.005792304509713,7.016944520360741,17.20293325351692,CBOE,fund,['etf'],etf
CBOE:DIHP,DIHP,Dimensional International High Profitability ETF,34.116517,-0.43333722457317614,354209,566632.2666666667,5991267721.2765,0.27,,2.5135727163461556,1.7492305398150927,8.34079707843761,6.714160150140766,16.677554719562256,CBOE,fund,['etf'],etf
CBOE:DFIS,DFIS,Dimensional International Small Cap ETF,36.35,-0.9536784741144453,298509,474616.1,5897007687.078,0.39,,2.654617339734552,2.974504249291797,12.503868771278238,9.323308270676694,25.38806484994827,CBOE,fund,['etf'],etf
AMEX:GSIE,GSIE,Goldman Sachs ActiveBeta International Equity ETF,45.65,-0.6744995648389954,336661,386824.23333333334,5752196000.0,0.25,,1.693027400311869,2.9776674937965266,8.124111795357651,5.451605451605451,16.335372069317014,AMEX,fund,['etf'],etf
AMEX:SCHC,SCHC,Schwab International Small-Cap Equity ETF,49.85,-1.2675777381659745,170610,345672.63333333336,5534727000.0,0.08,,-0.11017628205128148,1.8276495813763594,7.909543388876869,8.520130576713816,23.09306344112566,AMEX,fund,['etf'],etf
CBOE:EFAV,EFAV,iShares MSCI EAFE Min Vol Factor ETF,89.665,-0.5490239574090399,281045,488256.9666666667,5259540984.0,0.2,,-1.0756840247131447,-1.445372609364693,4.0438616848456705,3.384065490603023,5.649817367738897,CBOE,fund,['etf'],etf
CBOE:LVHI,LVHI,Franklin International Low Volatility High Dividend Index ETF,41.0,-0.09746588693956908,254985,636643.4666666667,4971092900.87801,0.4,,0.7618579503563585,2.5,12.823335167859097,10.30400860909335,23.754904920012066,CBOE,fund,['etf'],etf
CBOE:DISV,DISV,Dimensional International Small Cap Value ETF,42.21,-0.7990599294947035,121590,265057.26666666666,4825960750.624,0.42,,3.0391797876235747,3.253424657534242,13.95788336933046,9.893256964332219,30.883720930232563,CBOE,fund,['etf'],etf
AMEX:IVLU,IVLU,iShares MSCI Intl Value Factor ETF,42.935,-0.5673923112552048,445263,931149.8,4283221500.0,0.3,,3.958837772397107,6.406443618339532,13.885941644562333,11.577442827442843,30.620626711286903,AMEX,fund,['etf'],etf
AMEX:IMTM,IMTM,iShares MSCI Intl Momentum Factor ETF,53.395,-0.15893792071801374,224612,492100.1666666667,4027278777.2,0.3,,3.921759439470612,6.790000000000007,9.259259259259272,10.024726973006393,18.497558810474924,AMEX,fund,['etf'],etf
NASDAQ:BOTZ,BOTZ,Global X Robotics & Artificial Intelligence ETF,40.3093,-0.8137303149606305,484828,1069335.3,3781250150.52423,0.68,,4.6587044008827725,9.26890756302521,9.536141304347835,9.984447476125517,30.113944480309875,NASDAQ,fund,['etf'],etf
AMEX:IDMO,IDMO,Invesco S&P International Developed Momentum ETF,59.685,-0.9706321553011462,277989,396038.3333333333,3774760000.0,0.25,,1.6953484409609891,3.998954521693678,8.498454826395209,6.352459016393451,18.799761146496813,AMEX,fund,['etf'],etf
AMEX:INTF,INTF,iShares International Equity Factor ETF,41.345,-0.803742802303265,96921,285286.5333333333,3459156029.4,0.16,,1.8349753694581217,4.380207018429688,10.54812834224599,8.403251179863656,21.710332646452752,AMEX,fund,['etf'],etf
CBOE:GCOW,GCOW,Pacer Global Cash Cows Dividend ETF,45.91,-0.3689236111111148,96219,249655.66666666666,3344652775.0,0.6,,-0.1956521739130509,0.7903402854006574,10.254562920268963,10.5732177263969,21.61589403973509,CBOE,fund,['etf'],etf
AMEX:FNDC,FNDC,Schwab Fundamental International Small Equity ETF,49.6483,-0.5641898658121385,44664,302754.6,3073155000.0,0.39,,0.5840761750405178,4.149989511222985,9.574707570072825,10.550656869294151,22.92225798464966,AMEX,fund,['etf'],etf
AMEX:PXF,PXF,Invesco RAFI Developed Markets ex-U.S. ETF,78.3048,-0.7669496895197015,42059,85373.4,2958696000.0,0.43,,6.233618233618243,9.916900617630551,21.139851485148515,18.142426071213034,38.61710037174721,AMEX,fund,['etf'],etf
AMEX:DIVI,DIVI,Franklin International Core Dividend Tilt Index ETF,43.04,-0.6922011998154228,90218,144786.83333333334,2521634600.0,0.09,,2.9172644667623118,5.853418593212009,10.756562017498714,9.183155758498218,21.891815349759263,AMEX,fund,['etf'],etf
AMEX:HDEF,HDEF,Xtrackers MSCI EAFE High Dividend Yield Equity ETF,32.1505,-0.7394257486878654,89092,153633.1,2234112782.355,0.09,,-1.5600122473974147,-0.8618563058896045,5.307893874877169,3.013457225248318,11.905673512008356,AMEX,fund,['etf'],etf
AMEX:CGIE,CGIE,Capital Group International Equity ETF,36.45,-0.6811989100817438,236411,468532.4,2232496877.26,0.54,,3.1117397454031157,4.023972602739737,5.346820809248559,3.462957706500159,12.500000000000014,AMEX,fund,['etf'],etf
AMEX:IHDG,IHDG,WisdomTree International Hedged Quality Dividend Growth Fund,51.19,-0.6405279503105694,52886,156026.9,2222972850.0,0.58,,3.896894662066155,3.164046755340589,6.623620079150177,4.192957459800519,13.528498558438665,AMEX,fund,['etf'],etf
CBOE:ICOW,ICOW,Pacer Developed Markets International Cash Cows 100 ETF,45.3208,-0.6993865030674893,175076,189963.53333333333,1869832170.0,0.65,,2.698391117153854,7.7015209125475295,15.969293756397136,16.20717948717948,35.60981448234589,CBOE,fund,['etf'],etf
AMEX:HFXI,HFXI,NYLI FTSE International Equity Currency Neutral ETF,37.88,-0.4990806409246065,220152,261333.6,1810077074.0,0.2,,6.1956826464816395,9.733487833140206,16.374807987711232,14.892326357294522,29.548563611491126,AMEX,fund,['etf'],etf
AMEX:AVIV,AVIV,Avantis International Large Cap Value ETF,79.37,-0.7254534083802355,21955,256845.83333333334,1775314140.0,0.25,,2.757638529259464,3.6974131173242726,12.72546513279365,10.543175487465192,27.93359123146358,AMEX,fund,['etf'],etf
CBOE:GSWO,GSWO,Goldman Sachs ActiveBeta World Equity ETF,63.86,-0.7460366801367796,58961,78657.73333333334,1715526800.0,0.15,,4.261224489795917,8.310719131614652,10.656731935539765,10.217466344494309,18.357890834955057,CBOE,fund,['etf'],etf
AMEX:RODM,RODM,Hartford Multifactor Developed Markets (ex-US) ETF,41.1085,-0.05227327984440355,32880,110782.26666666666,1540035840.0,0.29,,0.9045164457535527,3.4436336185203755,12.134478996181132,10.328770799785296,21.264011799410035,AMEX,fund,['etf'],etf
AMEX:TOUS,TOUS,T. Rowe Price International Equity ETF,37.71,-0.684751119304709,62266,190723.1,1473237636.0,0.5,,4.228855721393038,5.217633928571421,9.336039431719335,8.020624462904626,19.52456418383518,AMEX,fund,['etf'],etf
